"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"CD11b+_epithelial_region",69,54,0.1014131,0.1547185,1.10673376391162,0.817234225391707,1.49878649978824,0.512166039213701,0.939500158717015
"CD11b_low_Neutrophils_M1_med_dist",63,49,0.08612528,0.1316346,1.08994286332496,0.842085405706034,1.41075410791258,0.512934477841783,0.939500158717015
"Lymphatic_endothelial_cells_assort",69,54,0.08316876,0.128018,1.08672518592758,0.845572075829307,1.3966540091465,0.515908848585046,0.939500158717015
"M2_macrophages_assort",69,54,0.08982979,0.139626,1.09398805664452,0.832075495106969,1.4383428848929,0.519990452756025,0.939500158717015
"Fibroblast_assort",69,54,-0.08766598,0.1364555,0.916066807238921,0.701093559206259,1.19695636096698,0.520580478390245,0.939500158717015
"CD8+_T_cells_vascular_med_dist",62,47,0.08638771,0.1349081,1.0902289411758,0.83691959399811,1.42020709360999,0.521948361558622,0.939500158717015
"CD11b_low_Neutrophils_tumor_contact",69,54,0.09117793,0.14496,1.09546390366393,0.824532667256405,1.4554197934009,0.529357781114559,0.939500158717015
"Non-leukocyte_derived_neural_cells_M1_contact",69,54,0.07346817,0.1195905,1.07623428131054,0.851356056432739,1.36051211419265,0.538996404387274,0.939500158717015
"Dendritic_cells_tumor_contact",69,54,-0.09304504,0.1526207,0.911152464349936,0.675585097721499,1.22885897881839,0.542094489810669,0.939500158717015
"Dendritic_cells_prop",69,54,-0.1007329,0.1659522,0.904174460705268,0.653120707411341,1.25173102937123,0.543851093747523,0.939500158717015
"Fibroblast_tumor_med_dist",67,52,-0.07894553,0.1318961,0.924090258505263,0.71358262058769,1.19669787523838,0.549477333964582,0.939500158717015
"Unidentified_M1_contact",69,54,0.07787454,0.1311204,1.08098703299544,0.83600836214046,1.39775272404269,0.552568009287253,0.939500158717015
"Dendritic_cells_assort",69,54,-0.08673742,0.1488073,0.916917832153149,0.684960309412881,1.22742631852797,0.559971322218577,0.939500158717015
"CD11b+_epithelial_M1_contact",69,54,-0.08184211,0.1417177,0.921417434416447,0.697952827744893,1.21642904032607,0.563601198499057,0.939500158717015
"M2_macrophages_tumor_contact",69,54,-0.1001273,0.1745644,0.904722243028238,0.64257787179329,1.2738103395091,0.566249577736937,0.939500158717015
"CD11c_low_immune_tumor_contact",69,54,0.07593076,0.1353166,1.07888786682285,0.827550689259607,1.40655919242719,0.574706146540075,0.939500158717015
"CD11c+_epithelial_vascular_med_dist",61,48,0.08144159,0.14542,1.08484984564779,0.815807927523494,1.44261798383681,0.575449427294534,0.939500158717015
"CD56+CD45-_M1_med_dist",37,29,-0.1096586,0.2007365,0.896139982302516,0.60465641898047,1.32813750532117,0.584872340957664,0.939500158717015
"Neuroepithelial_cells_M1_contact",69,54,-0.06738565,0.1233696,0.934834611048548,0.734044514323794,1.19054871054972,0.584921883144901,0.939500158717015
"Non-leukocyte_derived_neural_cells_tumor_contact",69,54,0.07608343,0.1411391,1.07905259238518,0.818285382198028,1.42291983024987,0.589840645143757,0.939500158717015
"Fibroblast_vascular_contact",69,54,-0.07555029,0.1403331,0.927233096400797,0.704266788303686,1.22078909489946,0.590325648752228,0.939500158717015
"Unidentified_tumor_contact",69,54,-0.07833924,0.1476018,0.924650690592063,0.692370882207358,1.2348568109719,0.595594029179834,0.939500158717015
"Neutrophils_M1_med_dist",50,38,-0.08047444,0.1540105,0.922678488224848,0.682270167920935,1.24779835417272,0.601304488108397,0.939500158717015
"Lymphatic_endothelial_cells_M1_med_dist",27,24,0.1034775,0.199447,1.10902079170861,0.750188010001462,1.63949183410648,0.60388494506174,0.939500158717015
"NK/NKT_M1_contact",69,54,-0.06587077,0.130778,0.936251845250468,0.724559857969215,1.2097931014171,0.614483464499649,0.939500158717015
"Non-leukocyte_derived_neural_cells_assort",69,54,-0.06903429,0.1385101,0.933294681258381,0.71140803221853,1.22438730323137,0.618197851553278,0.939500158717015
"Neutrophils_tumor_contact",69,54,-0.05350015,0.1102457,0.94790579987927,0.763701883595047,1.17653946486952,0.62747702935111,0.939500158717015
"M1_macrophages_tumor_contact",69,54,0.06545985,0.137716,1.06764986841457,0.815088458964113,1.39846936733016,0.634555493504299,0.939500158717015
"HLADR+_region",69,54,0.06442753,0.1356432,1.0665482842936,0.817562221952291,1.39136228679118,0.6348026915215,0.939500158717015
"CD163+_cells_vascular_contact",69,54,0.05755886,0.1241631,1.05924761149465,0.830442623535207,1.35109334547488,0.642952701099465,0.939500158717015
"M2_macrophages_tumor_med_dist",31,23,-0.09278462,0.205128,0.911389773398505,0.609675736920102,1.36241491788976,0.651034465234024,0.939500158717015
"Non-leukocyte_derived_neural_cells_M1_med_dist",30,24,0.09838237,0.2207038,1.10338460415938,0.715918399393831,1.70055356270599,0.655765862616943,0.939500158717015
"CD11b+_epithelial_tumor_med_dist",52,38,0.08086633,0.1815445,1.08422595595629,0.759606819573285,1.54757157687146,0.656005182422972,0.939500158717015
"NK/NKT_assort",69,54,0.060025,0.1375142,1.06186309008016,0.810991331771068,1.39033942522198,0.662473776782157,0.939500158717015
"Vascular_endothelial_cells_region",69,54,0.05995873,0.1378479,1.06179272400943,0.810407356191574,1.39115690417407,0.663589391707691,0.939500158717015
"Fibroblast_vascular_med_dist",66,51,-0.05820029,0.1338815,0.943460966701998,0.725711117145242,1.22654672728697,0.6637694257993,0.939500158717015
