"","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"M1_macrophages_tumor_med_dist",76,60,0.2200436,0.1063913,1.24613101370996,1.0115869879902,1.53505582986489,0.0386168044054798,0.35147314344465
"Other_immune_vascular_med_dist",64,49,0.2684508,0.1298098,1.30793662622839,1.01412714572072,1.68686759391886,0.0386370132797913,0.35147314344465
"Monocytes_vascular_med_dist",60,46,0.2657954,0.130235,1.30446819549097,1.01059533947738,1.68379687356112,0.0412616052327577,0.35147314344465
"Lymphatic_endothelial_cells_prop",77,60,0.237227,0.1166599,1.26772882525394,1.00861468527155,1.5934096517215,0.0420028233215243,0.35147314344465
"B_cells_vascular_med_dist",60,47,0.2859685,0.1408906,1.33105048369213,1.00987651155998,1.75436835083952,0.0423849409172248,0.35147314344465
"Neuroepithelial_cells_tumor_contact",77,60,0.2528159,0.1258034,1.28764618683132,1.00626525643767,1.64770938065668,0.0444724209030204,0.35147314344465
"Unidentified_assort",77,60,0.2663808,0.1332281,1.3052320195775,1.00527246655058,1.69469540011979,0.0455613334094916,0.35147314344465
"CD8+_T_cells_prop",77,60,-0.2976899,0.1578022,0.742531575791786,0.544996153272881,1.0116642800812,0.0592310187305213,0.433656273181739
"CBX2",77,60,0.2657831,0.1414413,1.30445213080426,0.988628476287287,1.72116766042384,0.0602300379419082,0.433656273181739
"Other_immune_M1_contact",77,60,0.2246979,0.1220507,1.25194441891298,0.98558767011778,1.59028453334858,0.0656186204331812,0.457213613340875
"CD4+_T_cells_prop",77,60,-0.3001334,0.1696868,0.740719397535937,0.531148652799074,1.03297866424892,0.0769356571930221,0.489418089189839
"CD4+_T_cells_vascular_med_dist",71,54,0.2453913,0.1388813,1.27812132689626,0.97354523083443,1.67798482754304,0.0772425921206362,0.489418089189839
"Other_immune_prop",77,60,-0.3051102,0.1736411,0.737042180350021,0.52443154144846,1.03584764202918,0.0788954188482277,0.489418089189839
"Non-leukocyte_derived_neural_cells_vascular_contact",77,60,-0.3233992,0.1843004,0.723684904775661,0.504281152903189,1.03854732302617,0.0793038570446499,0.489418089189839
"Other_immune_tumor_med_dist",64,49,0.2236676,0.1310434,1.25065520318175,0.967371325801831,1.61689559688894,0.0878555128035509,0.524038361511493
"Monocytes_tumor_med_dist",61,47,0.2352499,0.1386568,1.26522494276981,0.964146074471506,1.66032326241057,0.0897658304440984,0.524038361511493
"Lymphatic_endothelial_cells_assort",77,60,0.2111446,0.1254901,1.23509099783129,0.965787452928272,1.57948808332384,0.0924603519738526,0.525564105956636
"Monocytes_prop",77,60,-0.2867561,0.1778301,0.750694766571428,0.529778285439216,1.0637329766933,0.106846884469483,0.591767360138675
"CD11b+_epithelial_assort",77,60,0.1970764,0.1233905,1.21783711136946,0.956222591512287,1.55102718027516,0.110226403809328,0.595222580570371
"CD11c_low_immune_prop",77,60,-0.2736243,0.1740669,0.760617790676102,0.540754901744459,1.06987365556307,0.115962375173557,0.610923732621666
"CD11c+_epithelial_vascular_contact",77,60,0.1835031,0.1179386,1.20141866383784,0.953465267957301,1.51385357634499,0.119726932978544,0.615738512461083
"M2_macrophages_vascular_med_dist",36,27,-0.324666,0.2117429,0.722768714356759,0.477269264323271,1.09454903867241,0.125201227274114,0.628917792818805
"Neutrophils_M1_contact",77,60,-0.2966916,0.1986781,0.743273230565221,0.503539319406278,1.09714390511998,0.135351354519553,0.664452104005078
"M1_macrophages_tumor_contact",77,60,0.1788398,0.1293795,1.19582921572388,0.927985377354075,1.54098065344103,0.166882994246348,0.80103837238247
"HLADR+_vascular_med_dist",51,40,0.2342213,0.171262,1.26392413050977,0.903529945371748,1.76807001900486,0.171431102326356,0.804980828315063
"CD4+_T_cells_region",77,60,-0.2457034,0.1815653,0.782154211506723,0.547953562959407,1.11645448069296,0.175975490078309,0.808738422487548
"Vascular_endothelial_cells_M1_med_dist",75,59,0.1746126,0.1315125,1.19078478489466,0.920215771774997,1.5409086079904,0.184268471624085,0.829208122308382
"CD11c+_epithelial_M1_contact",77,60,0.1710375,0.1313698,1.18653529320078,0.91718821185302,1.53498048036041,0.192931915699016,0.844651433410098
"Tumor_M1_contact",77,60,0.1851878,0.1448123,1.20344445487814,0.906069636048923,1.59841859649156,0.200963055994672,0.844651433410098
"Neuroepithelial_cells_vascular_contact",77,60,-0.1345921,0.1056817,0.8740723939067,0.710544025449668,1.07523604790891,0.202819021393521,0.844651433410098
"Other_immune_M1_med_dist",63,49,0.1796991,0.1417025,1.19685715811548,0.906619201388442,1.58000961675917,0.20474683799423,0.844651433410098
"Age",77,60,0.01524134,0.01208521,1.01535808074767,0.991590328380513,1.03969553013224,0.2072524350497,0.844651433410098
"Fibroblast_vascular_contact",77,60,-0.1713542,0.1375964,0.84252307130236,0.643368119014521,1.10332654773766,0.213006971241716,0.852027884966864
"Other_immune_region",77,60,-0.1612277,0.1334775,0.851098274162727,0.655184298284896,1.10559467645818,0.227085039407107,0.86062984545656
"M1_macrophages_prop",77,60,-0.1886732,0.1586187,0.828057063207947,0.606797477123885,1.12999563409289,0.234252288100652,0.86062984545656
"CD163+_cells_tumor_contact",77,60,0.1669393,0.1404502,1.18168250486949,0.897324212566062,1.5561527514358,0.234596609983025,0.86062984545656
"Other_immune_tumor_contact",77,60,0.1531871,0.1290966,1.16554302669264,0.904984420312451,1.50112036912505,0.235382090059473,0.86062984545656
